original_text,clean_text,style,hashtags,hashtag_count,mentions,mention_count,emojis,emoji_count,word_count,char_count,line_count,first_line,has_question,has_exclamation,has_url,primary_theme,tone,has_cta,hook_strength,target_audience
"Miami postcard 🌴🌊☀️🐚🌴
•
•
#miami #keybiacayne #beach #beachlife #paradise #landscape #nature #postcard #360val",Miami postcard 🌴🌊☀️🐚🌴 • • #miami #keybiacayne #beach #beachlife #paradise #landscape #nature #postcard #360val,aesthetic,#miami #keybiacayne #beach #beachlife #paradise #landscape #nature #postcard #360val,9,,0,🌴🌊☀🐚🌴,5,5,110,1,Miami postcard 🌴🌊☀️🐚🌴 • • #miami #keybiacayne #beach #beachlife #paradise #landscape #nature #postcard #360val,False,False,False,travel and landscape,professional,False,4,travel enthusiasts
Always fun to hang with all the volunteers at the @clayfair #StageSecurity,Always fun to hang with all the volunteers at the @clayfair #StageSecurity,general,#StageSecurity,1,@clayfair,1,,0,10,74,1,Always fun to hang with all the volunteers at the @clayfair #StageSecurity,False,False,False,volunteer appreciation,casual,False,3,volunteers and event staff
all I've done is eat this week!,all I've done is eat this week!,funny,,0,,0,,0,7,31,1,all I've done is eat this week!,False,True,False,personal humor,playful,False,4,friends and family
Bomb twist out achieved using @handmadebreeabutter curling cream . It's amazing <3 !! #ad,Bomb twist out achieved using @handmadebreeabutter curling cream . It's amazing <3 !! #ad,aesthetic,#ad,1,@handmadebreeabutter,1,,0,12,89,1,Bomb twist out achieved using @handmadebreeabutter curling cream . It's amazing <3 !! #ad,False,True,False,beauty and product review,casual,False,4,beauty enthusiasts
@kevinhart4real will take over and host @steveharveyfm this Friday morning from 6-10,@kevinhart4real will take over and host @steveharveyfm this Friday morning from 6-10,general,,0,@kevinhart4real @steveharveyfm,2,,0,10,84,1,@kevinhart4real will take over and host @steveharveyfm this Friday morning from 6-10,False,False,False,event announcement,casual,False,2,fans of Kevin Hart and Steve Harvey
"a u s t r a l i a n |  summer, I love you ☀️. #myislandhome #seeaustralia #itsbeautifulhere","a u s t r a l i a n | summer, I love you ☀️. #myislandhome #seeaustralia #itsbeautifulhere",aesthetic,#myislandhome #seeaustralia #itsbeautifulhere,3,,0,☀,1,16,90,1,"a u s t r a l i a n | summer, I love you ☀️. #myislandhome #seeaustralia #itsbeautifulhere",False,False,False,love for Australia,casual,False,3,travel enthusiasts and Australia lovers
"🌊 👨🏻‍💻🦈 b.b. ||
-
-
||
-
-
||
#babyshark #work #mood #sigh",🌊 👨🏻‍💻🦈 b.b. || - - || - - || #babyshark #work #mood #sigh,funny,#babyshark #work #mood #sigh,4,,0,🌊👨🏻💻🦈,5,10,58,1,🌊 👨🏻‍💻🦈 b.b. || - - || - - || #babyshark #work #mood #sigh,False,False,False,work frustration,playful,False,4,people who can relate to work stress
Shout out to my friends over at @nymbrands for helping me keep my hair lookin healthy & clean with the complimentary #CleanFreakTapioca dry shampoo. @influenster #Ad ✨,Shout out to my friends over at @nymbrands for helping me keep my hair lookin healthy & clean with the complimentary #CleanFreakTapioca dry shampoo. @influenster #Ad ✨,general,#CleanFreakTapioca #Ad,2,@nymbrands @influenster,2,✨,1,23,167,1,Shout out to my friends over at @nymbrands for helping me keep my hair lookin healthy & clean with the complimentary #CleanFreakTapioca dry shampoo. @influenster #Ad ✨,False,False,False,product promotion,casual,True,2,people interested in hair care products
My Work! #Medium #ExtraLong #boxbraids with Burgundy hair and gold accessories ✨ #dmvbraider #mdbraider #dmvhairstylist #ad #pretty #protectivestyles #blackhair,My Work! #Medium #ExtraLong #boxbraids with Burgundy hair and gold accessories ✨ #dmvbraider #mdbraider #dmvhairstylist #ad #pretty #protectivestyles #blackhair,aesthetic,#Medium #ExtraLong #boxbraids #dmvbraider #mdbraider #dmvhairstylist #ad #pretty #protectivestyles #blackhair,10,,0,✨,1,9,160,1,My Work! #Medium #ExtraLong #boxbraids with Burgundy hair and gold accessories ✨ #dmvbraider #mdbraider #dmvhairstylist #ad #pretty #protectivestyles #blackhair,False,True,False,hair styling,professional,True,3,people interested in hair braiding and styling
Hello Spring 💐 Dress: @relish_official,Hello Spring 💐 Dress: @relish_official,aesthetic,,0,@relish_official,1,💐,1,4,38,1,Hello Spring 💐 Dress: @relish_official,False,False,False,fashion and spring,casual,False,2,fashion enthusiasts
"My other half, my marshmallow, my Brittany Snow. She completes me👸🏼💕 #gmg #dontloseyourphone #onabus #ever","My other half, my marshmallow, my Brittany Snow. She completes me👸🏼💕 #gmg #dontloseyourphone #onabus #ever",motivational,#gmg #dontloseyourphone #onabus #ever,4,,0,👸🏼💕,3,11,106,1,"My other half, my marshmallow, my Brittany Snow. She completes me👸🏼💕 #gmg #dontloseyourphone #onabus #ever",False,False,False,love and appreciation,inspirational,False,4,people who value relationships and love
"+
+
お料理上手でモノトーンインテリアのセンスがめっちゃお洒落なお家に住んであたしのカリスマ的存在❤️
@moe9646 さんからの
#モノトーンバトン
#白黒バトン
.
そう、我が家にはまさにピッタリなバトンを回してくれてモエさんありがとうッ😆💓🎶
.
モノトーングッズだらけでどれもpostしたいものばかりだけど、今回のマラソンで購入したバスマット🙋🏻‍♀️✨
.
タオル地のバスマットでしっかり厚みもあるし何よりデザインがめっちゃ可愛い😍💕
.
うちは毎日バスマットをタオル感覚で洗濯物と一緒に洗う派なので、こういうバスマットの方が洗いやすくていい😁✨
.
roomにも載せてあるので気になる方はのぞいてみてくださいね😊💕
.
マラソン、走り出してからのんびり駆け抜けているのでまだ完走していません😂
.
でも多分オーバーランの予感🤪
.
みなさんのマラソン購入品も見せてくださいね❤️
.
バトンはあたしと同じくモノトーンを愛してやまない人達に回しちゃうよ😘
.
#白黒#白黒病 #白黒インテリア #モノトーン#モノトーンインテリア#シンプルインテリア#シンプルホーム#洗面所#バスマット#楽天#楽天お買い物マラソン #購入品#楽天roomに載せてます",+ + お料理上手でモノトーンインテリアのセンスがめっちゃお洒落なお家に住んであたしのカリスマ的存在❤️ @moe9646 さんからの #モノトーンバトン #白黒バトン . そう、我が家にはまさにピッタリなバトンを回してくれてモエさんありがとうッ😆💓🎶 . モノトーングッズだらけでどれもpostしたいものばかりだけど、今回のマラソンで購入したバスマット🙋🏻‍♀️✨ . タオル地のバスマットでしっかり厚みもあるし何よりデザインがめっちゃ可愛い😍💕 . うちは毎日バスマットをタオル感覚で洗濯物と一緒に洗う派なので、こういうバスマットの方が洗いやすくていい😁✨ . roomにも載せてあるので気になる方はのぞいてみてくださいね😊💕 . マラソン、走り出してからのんびり駆け抜けているのでまだ完走していません😂 . でも多分オーバーランの予感🤪 . みなさんのマラソン購入品も見せてくださいね❤️ . バトンはあたしと同じくモノトーンを愛してやまない人達に回しちゃうよ😘 . #白黒#白黒病 #白黒インテリア #モノトーン#モノトーンインテリア#シンプルインテリア#シンプルホーム#洗面所#バスマット#楽天#楽天お買い物マラソン #購入品#楽天roomに載せてます,aesthetic,#モノトーンバトン #白黒バトン #白黒 #白黒病 #白黒インテリア #モノトーン #モノトーンインテリア #シンプルインテリア #シンプルホーム #洗面所 #バスマット #楽天 #楽天お買い物マラソン #購入品 #楽天roomに載せてます,15,@moe9646,1,❤😆💓🎶🙋🏻♀✨😍💕😁✨😊💕😂🤪❤😘,18,23,531,1,+ + お料理上手でモノトーンインテリアのセンスがめっちゃお洒落なお家に住んであたしのカリスマ的存在❤️ @moe9646 さんからの #モノトーンバトン #白黒バトン . そう、我が家にはまさにピッタリなバトンを回してくれてモエさんありがとうッ😆💓🎶 . モノトーングッズだらけでどれもpostしたいものばかりだけど、今回のマラソンで購入したバスマット🙋🏻‍♀️✨ . タオル地のバスマットでしっかり厚みもあるし何よりデザインがめっちゃ可愛い😍💕 . うちは毎日バスマットをタオル感覚で洗濯物と一緒に洗う派なので、こういうバスマットの方が洗いやすくていい😁✨ . roomにも載せてあるので気になる方はのぞいてみてくださいね😊💕 . マラソン、走り出してからのんびり駆け抜けているのでまだ完走していません😂 . でも多分オーバーランの予感🤪 . みなさんのマラソン購入品も見せてくださいね❤️ . バトンはあたしと同じくモノトーンを愛してやまない人達に回しちゃうよ😘 . #白黒#白黒病 #白黒インテリア #モノトーン#モノトーンインテリア#シンプルインテリア#シンプルホーム#洗面所#バスマット#楽天#楽天お買い物マラソン #購入品#楽天roomに載せてます,False,False,False,home decor and monochrome style,educational,True,3,people interested in interior design and monochrome style
"Qui part au ski cette année ? ⛷🎿
#laclusaz #rhonealpes #ski #sunset",Qui part au ski cette année ? ⛷🎿 #laclusaz #rhonealpes #ski #sunset,general,#laclusaz #rhonealpes #ski #sunset,4,,0,⛷🎿,2,8,67,1,Qui part au ski cette année ? ⛷🎿 #laclusaz #rhonealpes #ski #sunset,True,False,False,skiing and travel,casual,True,2,people who enjoy skiing and travel
"sigo em busca de uma foto da @luizaferraz que eu não goste 😍
sério, Lu, vc ❤️ #provemais","sigo em busca de uma foto da @luizaferraz que eu não goste 😍 sério, Lu, vc ❤️ #provemais",motivational,#provemais,1,@luizaferraz,1,😍❤,2,16,88,1,"sigo em busca de uma foto da @luizaferraz que eu não goste 😍 sério, Lu, vc ❤️ #provemais",False,False,False,appreciation for someone,inspirational,False,4,fans of Luiza Ferraz and people who appreciate positivity
"Walking all day with my style on fire, that's what i gotta do!

@labelfadlad @hm_man @hummelindia","Walking all day with my style on fire, that's what i gotta do! @labelfadlad @hm_man @hummelindia",motivational,,0,@labelfadlad @hm_man @hummelindia,3,,0,13,96,1,"Walking all day with my style on fire, that's what i gotta do! @labelfadlad @hm_man @hummelindia",False,True,False,confidence and self-expression,casual,False,4,young adults
"Went to New York, bought a Yankees cap, ate too much, spent all my money & nearly froze to death. It was worth it. 
#NYC","Went to New York, bought a Yankees cap, ate too much, spent all my money & nearly froze to death. It was worth it. #NYC",funny,#NYC,1,,0,,0,24,119,1,"Went to New York, bought a Yankees cap, ate too much, spent all my money & nearly froze to death. It was worth it. #NYC",False,False,False,travel and self-deprecation,playful,False,5,travel enthusiasts and humor lovers
Kinda funny how I used to hate pink 😂,Kinda funny how I used to hate pink 😂,funny,,0,,0,😂,1,9,37,1,Kinda funny how I used to hate pink 😂,False,False,False,personal preferences and humor,playful,False,3,casual followers
Tschüss Montag 💥 #mondaymadness #byebye #afterwork #mood #fromwhereisit #cozy #eveningmood #metoday #afterworkflow #cozytime #autumnfeels #leoprint #socks,Tschüss Montag 💥 #mondaymadness #byebye #afterwork #mood #fromwhereisit #cozy #eveningmood #metoday #afterworkflow #cozytime #autumnfeels #leoprint #socks,aesthetic,#mondaymadness #byebye #afterwork #mood #fromwhereisit #cozy #eveningmood #metoday #afterworkflow #cozytime #autumnfeels #leoprint #socks,13,,0,💥,1,3,154,1,Tschüss Montag 💥 #mondaymadness #byebye #afterwork #mood #fromwhereisit #cozy #eveningmood #metoday #afterworkflow #cozytime #autumnfeels #leoprint #socks,False,False,False,relaxation and coziness,casual,False,2,those who appreciate cozy vibes
"#멘소래담 #아크네스
뷰라벨이라면 믿어 의심치 않쑵네당
극한의 추위와 바람에도 피부 속 수분 유지 68.51%로 뷰라벨 수분크림 선정👍 세상에 얼굴 피부도 모자라서 수분테스트하는 손등까지 쩍쩍 갈라짐;; 젤타입 크림이라서 헤비하지 않게 하지만 보습력은 쵝오! 멘소래담은 원래 트러블케어 전문 브랜드잖아요~ 요 아이는 수분충전은 물론 트러블 진정효과까지 있기 때문에 올겨울 수분크림으로 구매각❤️
피부 속까지 완전 촠촠 하루종일 초크초크한 이 기분 얼마만인게냐 *아크네스로부터 제품을 제공받아 작성하였습니다 
#겟잇뷰티#뷰라벨수분크림#속건조보습템#모이스처크림#수분크림#수분보습크림#뷰라벨크림#수분크림추천 #AD",#멘소래담 #아크네스 뷰라벨이라면 믿어 의심치 않쑵네당 극한의 추위와 바람에도 피부 속 수분 유지 68.51%로 뷰라벨 수분크림 선정👍 세상에 얼굴 피부도 모자라서 수분테스트하는 손등까지 쩍쩍 갈라짐;; 젤타입 크림이라서 헤비하지 않게 하지만 보습력은 쵝오! 멘소래담은 원래 트러블케어 전문 브랜드잖아요~ 요 아이는 수분충전은 물론 트러블 진정효과까지 있기 때문에 올겨울 수분크림으로 구매각❤️ 피부 속까지 완전 촠촠 하루종일 초크초크한 이 기분 얼마만인게냐 *아크네스로부터 제품을 제공받아 작성하였습니다 #겟잇뷰티#뷰라벨수분크림#속건조보습템#모이스처크림#수분크림#수분보습크림#뷰라벨크림#수분크림추천 #AD,general,#멘소래담 #아크네스 #겟잇뷰티 #뷰라벨수분크림 #속건조보습템 #모이스처크림 #수분크림 #수분보습크림 #뷰라벨크림 #수분크림추천 #AD,11,,0,👍❤,2,59,339,1,#멘소래담 #아크네스 뷰라벨이라면 믿어 의심치 않쑵네당 극한의 추위와 바람에도 피부 속 수분 유지 68.51%로 뷰라벨 수분크림 선정👍 세상에 얼굴 피부도 모자라서 수분테스트하는 손등까지 쩍쩍 갈라짐;; 젤타입 크림이라서 헤비하지 않게 하지만 보습력은 쵝오! 멘소래담은 원래 트러블케어 전문 브랜드잖아요~ 요 아이는 수분충전은 물론 트러블 진정효과까지 있기 때문에 올겨울 수분크림으로 구매각❤️ 피부 속까지 완전 촠촠 하루종일 초크초크한 이 기분 얼마만인게냐 *아크네스로부터 제품을 제공받아 작성하였습니다 #겟잇뷰티#뷰라벨수분크림#속건조보습템#모이스처크림#수분크림#수분보습크림#뷰라벨크림#수분크림추천 #AD,False,True,False,product review and skincare,educational,False,1,skincare enthusiasts
His face on here describes exactly how i felt when i had to go to work this morning 😂😂 but nonetheless S/o to MLK for all the positive gems he dropped on the world. ✊🏾 #MLK,His face on here describes exactly how i felt when i had to go to work this morning 😂😂 but nonetheless S/o to MLK for all the positive gems he dropped on the world. ✊🏾 #MLK,funny,#MLK,1,,0,😂😂✊🏾,4,35,172,1,His face on here describes exactly how i felt when i had to go to work this morning 😂😂 but nonetheless S/o to MLK for all the positive gems he dropped on the world. ✊🏾 #MLK,False,False,False,relating to a meme and appreciating a historical figure,playful,False,5,humor lovers and those who appreciate history
Springing into the upcoming season with new favorite natural #momessentials🌷. More about ‘em on the blog {link in bio}.,Springing into the upcoming season with new favorite natural #momessentials🌷. More about ‘em on the blog {link in bio}.,aesthetic,#momessentials,1,,0,🌷,1,19,119,1,Springing into the upcoming season with new favorite natural #momessentials🌷. More about ‘em on the blog {link in bio}.,False,False,False,natural products and spring season,inspirational,True,4,health-conscious individuals and nature lovers
oh so cozy in @princesspollyboutique ✨ make sure you check out my stories for a try-on haul! & you can use my discount code XOAM for 20% off 🙆🏻‍♀️,oh so cozy in @princesspollyboutique ✨ make sure you check out my stories for a try-on haul! & you can use my discount code XOAM for 20% off 🙆🏻‍♀️,aesthetic,,0,@princesspollyboutique,1,✨🙆🏻♀,4,28,146,1,oh so cozy in @princesspollyboutique ✨ make sure you check out my stories for a try-on haul! & you can use my discount code XOAM for 20% off 🙆🏻‍♀️,False,True,False,fashion and comfort,casual,True,3,fashion enthusiasts
Il paraît que #miniWolff est une fille 🎀 !,Il paraît que #miniWolff est une fille 🎀 !,general,#miniWolff,1,,0,🎀,1,8,42,1,Il paraît que #miniWolff est une fille 🎀 !,False,True,False,personal announcement,casual,False,2,friends and family
"holdin' it down for my hometown ✊🏻ft. @imogeneandwillie 
www.irisandpoppy.com",holdin' it down for my hometown ✊🏻ft. @imogeneandwillie www.irisandpoppy.com,motivational,,0,@imogeneandwillie,1,✊🏻,2,8,76,1,holdin' it down for my hometown ✊🏻ft. @imogeneandwillie www.irisandpoppy.com,False,False,False,community pride and support,inspirational,True,4,local community and supporters
Ralph Breaks The Internet comes out on Blu-ray and DVD on 2/24. Enter to win a digital copy on the blog. There will 4 winners!! #RalphBreaksTheInternet,Ralph Breaks The Internet comes out on Blu-ray and DVD on 2/24. Enter to win a digital copy on the blog. There will 4 winners!! #RalphBreaksTheInternet,general,#RalphBreaksTheInternet,1,,0,,0,25,151,1,Ralph Breaks The Internet comes out on Blu-ray and DVD on 2/24. Enter to win a digital copy on the blog. There will 4 winners!! #RalphBreaksTheInternet,False,True,False,New movie release and giveaway,casual,True,3,Movie fans
routine morning pep talk and outfit approval from my pupper. she stared me up and down in the most judgey way before snapping this pic. 😒🤦🏼‍♀️🐶,routine morning pep talk and outfit approval from my pupper. she stared me up and down in the most judgey way before snapping this pic. 😒🤦🏼‍♀️🐶,funny,,0,,0,😒🤦🏼♀🐶,5,26,143,1,routine morning pep talk and outfit approval from my pupper. she stared me up and down in the most judgey way before snapping this pic. 😒🤦🏼‍♀️🐶,False,False,False,Morning routine with a pet,playful,False,4,Pet owners and young adults
Caption this photo of @thejoefu and @okmayday 😂,Caption this photo of @thejoefu and @okmayday 😂,funny,,0,@thejoefu @okmayday,2,😂,1,6,47,1,Caption this photo of @thejoefu and @okmayday 😂,False,False,False,Photo caption challenge,playful,True,5,Social media users who enjoy humor
"Boredom part 2 📷: Sony a6000
Edited with @enlightquickshot",Boredom part 2 📷: Sony a6000 Edited with @enlightquickshot,aesthetic,,0,@enlightquickshot,1,📷,1,8,58,1,Boredom part 2 📷: Sony a6000 Edited with @enlightquickshot,False,False,False,Photography and editing,casual,False,2,Photography enthusiasts
DUKE SURVIVES! 😱 (1) Duke hangs on against (4) Virginia Tech and advances to a matchup with (2) Michigan State in the #Elite8! #MarchMadness⁠ ⁠,DUKE SURVIVES! 😱 (1) Duke hangs on against (4) Virginia Tech and advances to a matchup with (2) Michigan State in the #Elite8! #MarchMadness⁠ ⁠,general,#Elite8 #MarchMadness,2,,0,😱,1,25,143,1,DUKE SURVIVES! 😱 (1) Duke hangs on against (4) Virginia Tech and advances to a matchup with (2) Michigan State in the #Elite8! #MarchMadness⁠ ⁠,False,True,False,Sports news and update,excited,False,5,Sports fans
"Are you ready for a new week? 🌴💃🌴
°
°
°
°
°
@kidinterior
@interior4ever @interior_delux @interiorallforyou @jysknorge @jysksverige @jungalow @nordsjonorge @nlm_gjenbruk @sostrenegrene @skeidarnorge",Are you ready for a new week? 🌴💃🌴 ° ° ° ° ° @kidinterior @interior4ever @interior_delux @interiorallforyou @jysknorge @jysksverige @jungalow @nordsjonorge @nlm_gjenbruk @sostrenegrene @skeidarnorge,aesthetic,,0,@kidinterior @interior4ever @interior_delux @interiorallforyou @jysknorge @jysksverige @jungalow @nordsjonorge @nlm_gjenbruk @sostrenegrene @skeidarnorge,11,🌴💃🌴,3,13,197,1,Are you ready for a new week? 🌴💃🌴 ° ° ° ° ° @kidinterior @interior4ever @interior_delux @interiorallforyou @jysknorge @jysksverige @jungalow @nordsjonorge @nlm_gjenbruk @sostrenegrene @skeidarnorge,True,False,False,Home decor and interior design,inspirational,True,3,Home decor enthusiasts
"901 shelby drive look alive look alive -
-
D R A K E  tonighttt 😈",901 shelby drive look alive look alive - - D R A K E tonighttt 😈,general,,0,,0,😈,1,16,64,1,901 shelby drive look alive look alive - - D R A K E tonighttt 😈,False,False,False,Event announcement and promotion,excited,True,4,Music fans
"Moving seamlessly and stylishly through the next few weeks and months with the new season pieces from @labelfadlad 
#Bespoke #Minimalist
A/W18",Moving seamlessly and stylishly through the next few weeks and months with the new season pieces from @labelfadlad #Bespoke #Minimalist A/W18,aesthetic,#Bespoke #Minimalist,2,@labelfadlad,1,,0,18,141,1,Moving seamlessly and stylishly through the next few weeks and months with the new season pieces from @labelfadlad #Bespoke #Minimalist A/W18,False,False,False,Fashion and style,professional,True,2,Fashion enthusiasts
